,Input,Input,Input,Input,Input,Input,Input,Input,Input,Output
,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B
Date (XLS format),Tattic,Tcellar,Tnorth,Teast,Tsouth,Twest,Tcell,Qfan,HWDsafr,Qhtr
GMT+1,°C,°C,°C,°C,°C,°C,°C,Wh,m3/h,Wh
1/26/2000 12:00,10.08,9.88,9.68,10.09,10.18,10.47,14.93,144,1163.38,741.7
1/26/2000 13:00,10.07,9.9,9.69,10.1,10.15,10.45,19.11,207,1134.37,1207.08
1/26/2000 14:00,10.05,9.92,9.75,10.09,10.13,10.42,21.14,208,1143.15,1206.6
1/26/2000 15:00,10.03,9.95,9.79,10.09,10.14,10.43,22.72,208,1189.08,1206.6
1/26/2000 16:00,10.02,9.95,9.82,10.08,10.12,10.45,24.06,209,1214.23,1206.6
1/26/2000 17:00,10.01,9.96,9.87,10.09,10.14,10.46,25.28,209,1169.94,1205.2
1/26/2000 18:00,10,9.95,9.94,10.09,10.16,10.39,26.38,209,1178.89,1205.4
1/26/2000 19:00,10.01,9.97,9.99,10.09,10.2,10.36,27.4,209,1244.06,1205.6
1/26/2000 20:00,10.03,9.96,10.04,10.09,10.21,10.4,28.36,210,1192.93,1205.5
1/26/2000 21:00,10.04,9.98,10.03,10.09,10.22,10.37,29.26,210,1209.96,1205.4
1/26/2000 22:00,10.03,9.98,10.02,10.09,10.21,10.45,30.1,209,1197.29,1205.6
1/26/2000 23:00,10.05,9.95,10.06,10.09,10.22,10.4,30.9,210,1269.52,1205.6
1/27/2000 0:00,10.05,9.94,10.11,10.1,10.24,10.32,31.65,210,1237.28,1205.5
1/27/2000 1:00,10.05,9.95,10.06,10.1,10.25,10.26,32.36,211,1208.86,1205.3
1/27/2000 2:00,10.06,9.95,10.07,10.1,10.26,10.24,33.02,210,1169.13,1205.1
1/27/2000 3:00,10.06,9.95,10.11,10.1,10.26,10.23,33.66,210,1291.86,1205.2
1/27/2000 4:00,10.06,9.95,10.12,10.09,10.27,10.26,34.26,212,1205.59,1210.2
1/27/2000 5:00,10.06,9.97,10.15,10.1,10.26,10.35,34.62,212,1183.87,1132.04
1/27/2000 6:00,10.07,9.94,10.14,10.1,10.25,10.41,34.67,216,1273.26,1017.1
1/27/2000 7:00,10.07,9.94,10.16,10.1,10.25,10.36,34.68,216,1266.06,969.6
1/27/2000 8:00,10.07,9.93,10.18,10.1,10.25,10.33,34.71,216,1209.84,932.29
1/27/2000 9:00,10.08,9.97,10.1,10.11,10.27,10.36,34.72,216,1272.13,860.8
1/27/2000 10:00,10.07,9.96,10.03,10.1,10.26,10.42,34.49,216,1220,779.56
1/27/2000 11:00,10.07,9.96,10,10.1,10.22,10.51,34.42,216,1248.56,760.15
1/27/2000 12:00,10.07,9.95,10,10.09,10.17,10.5,34.59,216,1201.73,837.38
1/27/2000 13:00,10.05,9.97,10,10.09,10.15,10.48,34.86,216,1222.98,843.93
