Hour,Interior Air Temperature,Exterior Air Temperature
2160,,10
2161,,40
2162,,40
2163,,40
2164,,40
2165,,40
2166,,40
2167,,40
2168,,40
2169,,40
2170,,40
2171,,40
2172,,40
2173,,40
2174,,40
2175,,40
2176,,40
2177,,40
2178,,40
2179,,40
2180,,40
2181,,40
2182,,40
2183,,40
2184,,40
2185,,40
2186,,40
2187,,40
2188,,40
2189,,40
2190,,40
2191,,40
2192,,40
2193,,40
2194,,40
2195,,40
2196,,40
2197,,40
2198,,40
2199,,40
2200,,40
2201,,40
2202,,40
2203,,40
2204,,40
2205,,40
2206,,40
2207,,40
2208,,40
2209,,40
2210,,40
2211,,40
2212,,40
2213,,40
2214,,40
2215,,40
2216,,40
2217,,40
2218,,40
2219,,40
2220,,40
2221,,40
2222,,40
2223,,40
2224,,40
2225,,40
2226,,40
2227,,40
2228,,40
2229,,40
2230,,40
2231,,40
2232,,40
2233,,40
2234,,40
2235,,40
2236,,40
2237,,40
2238,,40
2239,,40
2240,,40
2241,,40
2242,,40
2243,,40
2244,,40
2245,,40
2246,,40
2247,,40
2248,,40
2249,,40
2250,,40
2251,,40
2252,,40
2253,,40
2254,,40
2255,,40
2256,,40
2257,,40
2258,,40
2259,,40
2260,,40
