AirConditioner:VariableRefrigerantFlow,Evaporative Condenser Air Flow Rate,61
AirConditioner:VariableRefrigerantFlow,Evaporative Condenser Pump Rated Power Consumption,62
AirConditioner:VariableRefrigerantFlow,Gross Rated Heating Capacity,17
AirConditioner:VariableRefrigerantFlow,Gross Rated Total Cooling Capacity,3
AirConditioner:VariableRefrigerantFlow,Resistive Defrost Heater Capacity,54
AirConditioner:VariableRefrigerantFlow,Water Condenser Volume Flow Rate,59
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl,Rated Evaporative Capacity,5
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl,Resistive Defrost Heater Capacity,38
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl:HR,Rated Evaporative Capacity,5
AirConditioner:VariableRefrigerantFlow:FluidTemperatureControl:HR,Resistive Defrost Heater Capacity,45
AirLoopHVAC,Adjusted Cooling Design Air Flow Rate,nil
AirLoopHVAC,Adjusted Heating Design Air Flow Rate,nil
AirLoopHVAC,Adjusted Main Design Air Flow Rate,nil
AirLoopHVAC,Calculated Heating Air Flow Ratio,nil
AirLoopHVAC,Design Supply Air Flow Rate,4
AirLoopHVAC,Sum of Air Terminal Maximum Flow Rates,nil
AirLoopHVAC,Sum of Air Terminal Maximum Heating Flow Rates,nil
AirLoopHVAC,Sum of Air Terminal Minimum Heating Flow Rates,nil
AirLoopHVAC,User Heating Air Flow Ratio,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Fraction of Supply Air Flow That Goes Through the Controlling Zone,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Cooling Capacity,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Nominal Heating Capacity,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate,nil
AirLoopHVAC:Unitary:Furnace:HeatCool,Maximum Supply Air Temperature,6
AirLoopHVAC:Unitary:Furnace:HeatCool,Maximum Supply Air Temperature from Supplemental Heater,6
AirLoopHVAC:Unitary:Furnace:HeatCool,Cooling Supply Air Flow Rate,7
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Cooling Operation,7
AirLoopHVAC:Unitary:Furnace:HeatCool,Heating Supply Air Flow Rate,8
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate During Heating Operation,8
AirLoopHVAC:Unitary:Furnace:HeatCool,No Load Supply Air Flow Rate,9
AirLoopHVAC:Unitary:Furnace:HeatCool,Supply Air Flow Rate When No Cooling or Heating is Needed,9
AirLoopHVAC:Unitary:Furnace:HeatOnly,Maximum Supply Air Temperature,6
AirLoopHVAC:Unitary:Furnace:HeatOnly,Heating Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool,Cooling Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool,Heating Supply Air Flow Rate,8
AirLoopHVAC:UnitaryHeatCool,Maximum Supply Air Temperature,6
AirLoopHVAC:UnitaryHeatCool,No Load Supply Air Flow Rate,9
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Cooling Outdoor Air Flow Rate,6
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Cooling Supply Air Flow Rate,3
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Heating Outdoor Air Flow Rate,7
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,Heating Supply Air Flow Rate,4
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,No Load Outdoor Air Flow Rate,8
AirLoopHVAC:UnitaryHeatCool:VAVChangeoverBypass,No Load Supply Air Flow Rate,5
AirLoopHVAC:UnitaryHeatOnly,Heating Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatOnly,Maximum Supply Air Temperature,6
AirLoopHVAC:UnitaryHeatPump:AirToAir,Cooling Supply Air Flow Rate,5
AirLoopHVAC:UnitaryHeatPump:AirToAir,Heating Supply Air Flow Rate,6
AirLoopHVAC:UnitaryHeatPump:AirToAir,Maximum Supply Air Temperature from Supplemental Heater,17
AirLoopHVAC:UnitaryHeatPump:AirToAir,No Load Supply Air Flow Rate,7
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 1 Supply Air Flow Rate,32
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 2 Supply Air Flow Rate,33
AirLoopHVAC:UnitaryHeatPump:AirToAir:MultiSpeed,Cooling Speed 3 Supply Air Flow Rate,34
