Variable,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,Pressure,FlowRate,FlowRate,FlowRate,FlowRate,FlowRate,FlowRate,FlowRate,FlowRate,FlowRate
Software,COMIS,AIRNET,CONTAM1b,BUS,CBSAIR,Average,CSE,Absolute Difference,Percent Difference,COMIS,AIRNET,CONTAM1b,BUS,CBSAIR,Average,CSE,Absolute Difference,Percent Difference
Name,,,,,,,,,,,,,,,,,,
Zone_1,36.722,37.2741,37.3,37.124,37.12,37.108019999999996,1.75716,35.35086,95.26474330885884,0.02597,0.02627,0.0262,0.0265,0.0266,0.026307999999999998,0.0292575,-0.0029495000000000007,-11.211418579899654
Zone_2,38.803,39.412,39.4,39.309,39.33,39.250800000000005,4.30554,34.945260000000005,89.03069491577241,0.03133,0.032,0.0319,0.0321,0.0322,0.031906000000000004,0.0332881,-0.0013820999999999972,-4.331787124678735
Zone_3,2.091,1.9882,2.0,1.842,1.8,1.9442400000000002,1.52497,0.41927000000000025,21.564724519606642,0.02699,0.0276,0.0275,0.0278,0.0279,0.027558,0.0312962,-0.003738200000000004,-13.564845054067801
Zone_4,4.082,4.0736,4.1,3.9763,3.96,4.03838,4.06406,-0.02567999999999948,-0.635898553380303,0.0254,0.02604,0.026,0.0264,0.0265,0.026067999999999997,0.0294526,-0.0033846000000000015,-12.983734847322395
Link_1,8.64,8.3134,8.3131,8.104,8.31,8.3361,50.806,-42.469899999999996,-509.4696560741833,0.02437,0.02471,0.02471,0.02514,0.02521,0.024827999999999996,0.0269803,-0.002152300000000003,-8.668841630417283
Link_2,4.91,4.7843,4.784,4.59,4.78,4.76966,8.58442,-3.8147599999999997,-79.97970505235173,0.02699,0.0276,0.0276,0.02789,0.02787,0.027589999999999996,0.0306907,-0.003100700000000005,-11.238492207321512
Link_3,7.68,7.8443,7.844,7.976,7.85,7.8388599999999995,70.0426,-62.203739999999996,-793.5304368237217,0.03133,0.032,0.032,0.03215,0.0321,0.03191599999999999,0.0325885,-0.0006725000000000064,-2.107093620754501
Link_4,2.59,2.635,2.6349,2.74,2.63,2.64598,30.0984,-27.45242,-1037.5142669256759,0.02003,0.0204,0.0204,0.02088,0.02088,0.020518,0.0247268,-0.004208799999999999,-20.51272053806413
Link_5,2.08,2.1379,2.1377,2.21,2.14,2.14112,68.4147,-66.27358,-3095.276303990435,0.02597,0.02627,0.02627,0.02657,0.0266,0.026336,0.0288821,-0.0025461000000000025,-9.667755164034032
Link_6,0.00444,0.00425,0.00425,0.004,0.0043,0.004248,36.724,-36.719752,-864400.9416195857,0.0016,0.00157,0.00157,0.00143,0.00153,0.0015400000000000001,0.00189019,-0.0003501899999999998,-22.739610389610373
Link_7,0.0499,0.05679,0.05679,0.057,0.057,0.055496000000000004,39.2537,-39.198204000000004,-70632.48522416031,0.00536,0.00573,0.00573,0.00558,0.0056,0.005599999999999999,0.00375741,0.001842589999999999,32.90339285714284
Link_8,1.99,2.0852,2.0852,2.16,2.08,2.0800799999999997,21.6524,-19.57232,-940.940733048729,0.0254,0.02604,0.026,0.02646,0.02647,0.026073999999999996,0.0289085,-0.0028345000000000037,-10.870982588018732
