Hour,Interior Air Temperature,Exterior Air Temperature,Interior,Exterior
2160,,10,10.0,10
2161,,40,10.0022,40
2162,,40,10.229,40
2163,,40,11.255,40
2164,,40,12.9233,40
2165,,40,14.8404,40
2166,,40,16.7809,40
2167,,40,18.644,40
2168,,40,20.3903,40
2169,,40,22.0086,40
2170,,40,23.5001,40
2171,,40,24.8711,40
2172,,40,26.1296,40
2173,,40,27.284,40
2174,,40,28.3426,40
2175,,40,29.3132,40
2176,,40,30.2031,40
2177,,40,31.0189,40
2178,,40,31.7667,40
2179,,40,32.4523,40
2180,,40,33.0809,40
2181,,40,33.657,40
2182,,40,34.1852,40
2183,,40,34.6695,40
2184,,40,35.1133,40
2185,,40,35.5203,40
2186,,40,35.8933,40
2187,,40,36.2353,40
2188,,40,36.5488,40
2189,,40,36.8362,40
2190,,40,37.0996,40
2191,,40,37.3412,40
2192,,40,37.5626,40
2193,,40,37.7655,40
2194,,40,37.9516,40
2195,,40,38.1222,40
2196,,40,38.2786,40
2197,,40,38.4219,40
2198,,40,38.5533,40
2199,,40,38.6738,40
2200,,40,38.7842,40
2201,,40,38.8855,40
2202,,40,38.9783,40
2203,,40,39.0634,40
2204,,40,39.1414,40
2205,,40,39.2129,40
2206,,40,39.2784,40
2207,,40,39.3385,40
2208,,40,39.3936,40
2209,,40,39.4441,40
2210,,40,39.4904,40
2211,,40,39.5328,40
2212,,40,39.5717,40
2213,,40,39.6074,40
2214,,40,39.6401,40
2215,,40,39.6701,40
2216,,40,39.6975,40
2217,,40,39.7227,40
2218,,40,39.7458,40
2219,,40,39.767,40
2220,,40,39.7864,40
2221,,40,39.8042,40
2222,,40,39.8205,40
2223,,40,39.8354,40
2224,,40,39.8491,40
2225,,40,39.8617,40
2226,,40,39.8732,40
2227,,40,39.8838,40
2228,,40,39.8934,40
2229,,40,39.9023,40
2230,,40,39.9105,40
2231,,40,39.9179,40
2232,,40,39.9247,40
2233,,40,39.931,40
2234,,40,39.9368,40
2235,,40,39.942,40
2236,,40,39.9469,40
2237,,40,39.9513,40
2238,,40,39.9553,40
2239,,40,39.9591,40
2240,,40,39.9625,40
2241,,40,39.9656,40
2242,,40,39.9685,40
2243,,40,39.9711,40
2244,,40,39.9735,40
2245,,40,39.9757,40
2246,,40,39.9777,40
2247,,40,39.9796,40
2248,,40,39.9813,40
2249,,40,39.9828,40
2250,,40,39.9843,40
2251,,40,39.9856,40
2252,,40,39.9868,40
2253,,40,39.9879,40
2254,,40,39.9889,40
2255,,40,39.9898,40
2256,,40,39.9907,40
2257,,40,39.9914,40
2258,,40,39.9922,40
2259,,40,39.9928,40
2260,,40,39.9934,40
