WD100,Actual,A,B,C,D,E,F,G,H
Annual Average Dry Bulb Temperature Values,10.878719031852953,10.878719031852953,10.87568729723598,10.878719031852967,10.876023935523412,10.876179054891917,10.875629980466588,10.87666386026985,10.875595169829015
Annual Average Dry Bulb Temperature Absolute Errors,0,0.0,-0.003031734616971704,1.4210854715202004e-14,-0.0026950963295409025,-0.0025399769610352507,-0.0030890513863646163,-0.002055171583101867,-0.0031238620239371073
Annual Average Relative Humidity Values,49.61473912547095,49.582498002055026,49.49175633728729,49.58547161874486,49.617906912612,49.617687503763314,49.61820214867594,49.61664502411598,49.61828934270775
Annual Average Relative Humidity Absolute Errors,0,-0.03224112341592189,-0.1229827881836556,-0.029267506726085912,0.0031677871410522584,0.0029483782923662716,0.003463023204993476,0.0019058986450346538,0.003550217236799824
Annual Average Dew Point Temperature Values,-1.0639570727251968,-1.0639570727251968,-1.0636468795798972,-1.0632937891089722,N/A,-1.0655850524475574,-1.0660030735008228,-1.065332051226076,-0.8631993790845007
Annual Average Dew Point Temperature Absolute Errors,0,0.0,0.0003101931452995643,0.0006632836162245859,nan,-0.0016279797223606174,-0.002046000775626,-0.0013749785008791982,0.20075769364069607
Annual Average Wind Speed Values,3.916976823838338,3.916976823838338,3.9262027131699906,3.916976823838153,3.9159941438614227,3.9175046927081474,3.916566522227191,3.916923998973685,3.767737949757822
Annual Average Wind Speed Absolute Errors,0,0.0,0.009225889331652581,-1.851852005074761e-13,-0.0009826799769152572,0.0005278688698093781,-0.0004103016111471902,-5.282486465318925e-05,-0.14923887408051595
Annual Average Wind Direction Values,179.2556227879895,179.2556227879895,179.23720590412861,157.64898961068616,179.23840500003695,179.26500452408106,179.23680146627476,173.6359841890465,178.79566800807274
Annual Average Wind Direction Absolute Errors,0,0.0,-0.018416883860879807,-21.606633177303337,-0.01721778795254636,0.009381736091569337,-0.01882132171473927,-5.619638598942998,-0.4599547799167567
Annual Average Station Pressure Values,834.6007535106747,834.6007535106747,830.1099999997849,834.6007535106747,834.609616395448,834.6009890388322,834.6011956290806,834.6003810040241,835.9400000003983
Annual Average Station Pressure Absolute Errors,0,0.0,-4.490753510889817,0.0,0.008862884773293445,0.00023552815741822997,0.00044211840588559426,-0.0003725066505921859,1.339246489723564
Annual Average Total Cloud Cover Values,5.089336682269665,0.0,5.088967910592021,N/A,5.0890038259628785,5.089104044294548,5.088965838716122,5.089007962556009,5.088931481265412
