,Input,Input,Input,Input,Input,Input,Input,Input,Input,Output
,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B,Cell B
Date (XLS format),Tattic,Tcellar,Tnorth,Teast,Tsouth,Twest,Tcell,Qfan,HWDsafr,Qhtr
GMT+1,°C,°C,°C,°C,°C,°C,°C,Wh,m3/h,Wh
9/8/2000 16:00,10.09,10.49,10.28,9.79,9.75,9.97,35.01,164,937.85,746.399999
9/8/2000 17:00,10.06,10.48,9.8,9.78,9.59,10.11,35,164.4,1006.4,744.600002
9/8/2000 18:00,10.04,10.44,9.69,9.77,9.49,10.24,35,163,991.63,746.618192
9/8/2000 19:00,10.04,10.43,9.78,9.79,9.61,10.13,35,164,1005.33,745.527266
9/8/2000 20:00,10.06,10.44,10.03,9.79,9.71,10.05,34.99,164,995.53,748.099996
9/8/2000 21:00,10.08,10.46,10.24,9.81,9.81,10.03,35.02,164,1021.28,749.199992
9/8/2000 22:00,10.09,10.49,10.34,9.83,9.86,10,35.01,164,963.61,743.099996
9/8/2000 23:00,10.11,10.51,10.35,9.83,9.85,9.99,35.01,163,1022.91,752.836365
9/9/2000 0:00,10.12,10.52,10.36,9.83,9.87,9.95,35.02,163,977.43,749.345442
9/9/2000 1:00,10.13,10.51,10.34,9.83,9.88,9.95,35.02,164,971.32,744.327265
9/9/2000 2:00,10.13,10.5,10.35,9.83,9.89,9.95,35.03,163,1028.45,747.818187
9/9/2000 3:00,10.14,10.49,10.35,9.82,9.93,9.95,35.01,164,962.28,745.636358
9/9/2000 4:00,10.14,10.5,10.38,9.82,9.94,9.94,35,164,1048.91,741.600001
9/9/2000 5:00,10.15,10.51,10.38,9.84,9.92,9.94,34.97,163,984.92,741.490911
9/9/2000 6:00,10.15,10.53,10.43,9.84,9.92,9.94,34.98,164,1018.58,743.890902
9/9/2000 7:00,10.16,10.53,10.41,9.84,9.9,9.94,35,164,1030.4,747.818187
9/9/2000 8:00,10.17,10.52,10.38,9.85,9.87,9.94,35,164,998.16,744.200002
9/9/2000 9:00,10.16,10.5,10.36,9.82,9.88,9.94,34.99,164,1044.47,744.545443
9/9/2000 10:00,10.15,10.46,10.34,9.81,9.87,9.95,34.99,164,965.66,745.963634
9/9/2000 11:00,10.14,10.44,10.22,9.8,9.83,9.9,34.99,164,939.86,746.100006
9/9/2000 12:00,10.13,10.49,9.71,9.81,9.73,9.88,35,164,1032.44,748
9/9/2000 13:00,10.12,10.53,9.82,9.8,9.62,9.87,34.99,164,988.02,748.909091
9/9/2000 14:00,10.07,10.57,10.29,9.81,9.51,9.94,35,164,948.78,750.763644
9/9/2000 15:00,10.05,10.58,10.15,9.81,9.39,10.1,35,164,1012.03,749.781822
9/9/2000 16:00,10.04,10.65,9.96,9.82,9.34,10.35,35,164,993.37,748.472723
9/9/2000 17:00,10.06,10.69,9.89,9.82,9.3,10.6,35.03,164,947.11,756.436368
